text,path,audio
IT'S A D CELL THE POWER CORDS AND THEN THE LIGHT BULB,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-11-18_09-19-22_EE_1.1/myst_004013_2013-11-18_09-19-22_EE_1.1_003.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-11-18_09-19-22_EE_1.1/myst_004013_2013-11-18_09-19-22_EE_1.1_003.flac
WELL THE DIRECTION OF ENERGY FLOWS TO THE NEGATIVE TERMINAL,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-11-18_09-19-22_EE_1.1/myst_004013_2013-11-18_09-19-22_EE_1.1_019.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-11-18_09-19-22_EE_1.1/myst_004013_2013-11-18_09-19-22_EE_1.1_019.flac
I'M GOOD HOW ARE YOU,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-11-19_09-27-55_EE_1.2/myst_004013_2013-11-19_09-27-55_EE_1.2_001.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-11-19_09-27-55_EE_1.2/myst_004013_2013-11-19_09-27-55_EE_1.2_001.flac
WE'VE BEEN POWERING MOTORS WITH BATTERIES AND SOLAR PANELS AND CREATING CIRCUITS,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-11-19_09-27-55_EE_1.2/myst_004013_2013-11-19_09-27-55_EE_1.2_002.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-11-19_09-27-55_EE_1.2/myst_004013_2013-11-19_09-27-55_EE_1.2_002.flac
TELL YOU MORE ABOUT WHAT,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-02_10-07-03_EE_1.3/myst_004013_2013-12-02_10-07-03_EE_1.3_004.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-02_10-07-03_EE_1.3/myst_004013_2013-12-02_10-07-03_EE_1.3_004.flac
WELL THE SWITCH AND THE NAIL ALLOWS ENERGY FLOW THROUGH IT TO REACH THE OTHER WIRE WHICH IS CONNECTED TO THE MOTOR SO THAT,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-02_10-07-03_EE_1.3/myst_004013_2013-12-02_10-07-03_EE_1.3_006.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-02_10-07-03_EE_1.3/myst_004013_2013-12-02_10-07-03_EE_1.3_006.flac
I AM GOOD HOW ARE YOU,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-03_10-07-18_EE_1.4/myst_004013_2013-12-03_10-07-18_EE_1.4_001.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-03_10-07-18_EE_1.4/myst_004013_2013-12-03_10-07-18_EE_1.4_001.flac
WELL THEY CAN THERE IS A SOURCE OF,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-03_10-07-18_EE_1.4/myst_004013_2013-12-03_10-07-18_EE_1.4_020.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-03_10-07-18_EE_1.4/myst_004013_2013-12-03_10-07-18_EE_1.4_020.flac
BYE BYE SEE YOU LATER ADIOS AMIGOS,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-03_10-07-18_EE_1.4/myst_004013_2013-12-03_10-07-18_EE_1.4_028.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-03_10-07-18_EE_1.4/myst_004013_2013-12-03_10-07-18_EE_1.4_028.flac
I'M GOOD HOW ARE YOU,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-17_09-21-36_EE_2.2/myst_004013_2013-12-17_09-21-36_EE_2.2_001.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-17_09-21-36_EE_2.2/myst_004013_2013-12-17_09-21-36_EE_2.2_001.flac
WE'VE BEEN CREATING SERIES CIRCUIT AND PARALLEL CIRCUITS AND DISCOVERING WHAT THEY DO WHEN YOU LIGHT TO BULB,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-17_09-21-36_EE_2.2/myst_004013_2013-12-17_09-21-36_EE_2.2_002.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-17_09-21-36_EE_2.2/myst_004013_2013-12-17_09-21-36_EE_2.2_002.flac
WE'VE BEEN WORKING WITH PARALLEL CIRCUITS AND SERIES CIRCUITS,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-17_09-21-36_EE_2.2/myst_004013_2013-12-17_09-21-36_EE_2.2_003.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-17_09-21-36_EE_2.2/myst_004013_2013-12-17_09-21-36_EE_2.2_003.flac
WELL IN THIS THERE IS TWO D CELL BATTERIES AND THEY'RE BOTH PARALLEL CIRCUITS BECAUSE THEY HAVE THEIR OWN PATHWAY,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-17_09-21-36_EE_2.2/myst_004013_2013-12-17_09-21-36_EE_2.2_018.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2013-12-17_09-21-36_EE_2.2/myst_004013_2013-12-17_09-21-36_EE_2.2_018.flac
WE'VE BEEN USING MAGNETS AND DIFFERENT OBJECTS TO SEE WHAT ATTRACTS SOME RIPPLES AND WHAT DOESN'T CONNECT AT ALL,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2014-01-22_09-02-30_EE_3.1/myst_004013_2014-01-22_09-02-30_EE_3.1_002.flac,data_vtlp_sp_1.1_0.9/MyST/train/004013/myst_004013_2014-01-22_09-02-30_EE_3.1/myst_004013_2014-01-22_09-02-30_EE_3.1_002.flac
