text,path,audio
AND TWAS ONLY SHOOTING AT A VENTURE WE WERE SAFE BUT FOR HOW SHORT A TIME SAFE JUST FOR SO LONG AS IT SHOULD PLEASE THE SOLDIERS NOT TO COME DOWN TO TAKE US,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0002.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0002.flac
EVER SO LITTLE IT CAUSED ME SHARP PAIN FOR FEELING WAS COMING BACK AFTER THE FIRST NUMBNESS OF THE SHOT THEY HAVE BROKE THE LEG THOUGH IT BLEEDS LITTLE ELZEVIR SAID WE HAVE NO TIME TO SPLICE IT HERE,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0005.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0005.flac
SAFE WITH A DISCHARGED PISTOL IN OUR GRASP AND A SHOT MAN LYING AT OUR FEET ELZEVIR WAS THE FIRST TO SPEAK CAN YOU STAND JOHN IS THE BONE BROKEN,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0003.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0003.flac
WE HAVE A QUARTER OF AN HOUR BEFORE THE POSSE CAN GET DOWN TO US BUT COME THEY WILL AND THOU CANST JUDGE WHAT CHANCE WE HAVE TO SAVE LIBERTY,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0007.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0007.flac
SHAKESPEARE THE WHILE CHALK WAS A BULWARK BETWEEN US AND THE FOE AND THOUGH ONE OR TWO OF THEM LOOSED OFF THEIR MATCHLOCKS TRYING TO GET AT US SIDEWAYS THEY COULD NOT EVEN SEE THEIR QUARRY,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0001.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0001.flac
HOW FEARFUL AND DIZZY TIS TO CAST ONE'S EYES SO LOW I'LL LOOK NO MORE,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0000.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0000.flac
SO ONLY GAVE A SIGH WISHING HEARTILY THAT MASKEW WERE NOT DEAD AND THAT MY LEG WERE NOT BROKE BUT THAT I WAS BACK AGAIN AT THE WHY NOT OR EVEN HEARING ONE OF DOCTOR SHERLOCK'S SERMONS IN MY AUNT'S PARLOUR,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0011.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0011.flac
AND THEY WILL TAKE THEE ALIVE AND THEN THERE IS A DANCE ON AIR AT DORCHESTER JAIL I FELT SICK WITH PAIN AND BITTERLY CAST DOWN TO THINK THAT I WAS LIKE TO COME SO SOON TO SUCH A VILE END,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0010.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0010.flac
I CANNOT STAND I SAID THERE IS SOMETHING GONE IN MY LEG AND I FEEL BLOOD RUNNING DOWN INTO MY BOOT HE KNELT AND ROLLED DOWN THE LEG OF MY STOCKING BUT THOUGH HE ONLY MOVED MY FOOT,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0004.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0004.flac
AND THEREFORE DO NOT BLAME THEE IF THOU DIDST MAKE ME WASTE A CHARGE IN AIR SO ONE THING WE CAN DO IS TO WAIT HERE UNTIL THEY COME AND I CAN ACCOUNT FOR A FEW OF THEM BEFORE THEY SHOOT ME DOWN BUT THOU CANST NOT FIGHT WITH A BROKEN LEG,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0009.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0009.flac
BUT I WILL PUT A KERCHIEF ROUND AND WHILE I WRAP IT LISTEN TO HOW WE LIE AND THEN CHOOSE WHAT WE SHALL DO I NODDED BITING MY LIPS HARD TO CONCEAL THE PAIN HE GAVE ME AND HE WENT ON,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0006.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0006.flac
AND HE JERKED HIS THUMB AT MASKEW,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0008.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/2518/154825/2518-154825-0008.flac
IN ORDER THAT A MARQUIS MIGHT FALL IN LOVE WITH HER OR TO HAVE INSISTED THAT SINCE A FAIR MAIDEN WAS TO BE SOUGHT SHE SHOULD KEEP HERSELF OUT OF THE WAY MISTER GASCOIGNE'S CALCULATIONS WERE OF THE KIND CALLED RATIONAL,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0003.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0003.flac
AND HE DID NOT EVEN THINK OF GETTING A TOO FRISKY HORSE IN ORDER THAT GWENDOLEN MIGHT BE THREATENED WITH AN ACCIDENT AND BE RESCUED BY A MAN OF PROPERTY HE WISHED HIS NIECE WELL AND HE MEANT HER TO BE SEEN TO ADVANTAGE IN THE BEST SOCIETY OF THE NEIGHBORHOOD,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0004.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0004.flac
SHE COULD NOT LOOK FORWARD TO A SINGLE LIFE BUT PROMOTIONS HAVE SOMETIMES TO BE TAKEN WITH BITTER HERBS A PEERAGE WILL NOT QUITE DO INSTEAD OF LEADERSHIP TO THE MAN WHO MEANT TO LEAD AND THIS DELICATE LIMBED SYLPH OF TWENTY MEANT TO LEAD,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0010.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0010.flac
BUT HER THOUGHTS NEVER DWELT ON MARRIAGE AS THE FULFILLMENT OF HER AMBITION THE DRAMAS IN WHICH SHE IMAGINED HERSELF A HEROINE WERE NOT WROUGHT UP TO THAT CLOSE TO BE VERY MUCH SUED OR HOPELESSLY SIGHED FOR AS A BRIDE WAS INDEED,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0007.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0007.flac
IT IS RATHER TO BE SET DOWN TO HIS CREDIT THAT HIS FEELINGS ON THE SUBJECT WERE ENTIRELY GOOD NATURED AND IN CONSIDERING THE RELATION OF MEANS TO ENDS IT WOULD HAVE BEEN MERE FOLLY TO HAVE BEEN GUIDED BY THE EXCEPTIONAL AND IDYLLIC,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0002.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0002.flac
AN INDISPENSABLE AND AGREEABLE GUARANTEE OF WOMANLY POWER BUT TO BECOME A WIFE AND WEAR ALL THE DOMESTIC FETTERS OF THAT CONDITION WAS ON THE WHOLE A VEXATIOUS NECESSITY HER OBSERVATION OF MATRIMONY HAD INCLINED HER TO THINK IT RATHER A DREARY STATE,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0008.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0008.flac
IT WOULD BE A LITTLE HARD TO BLAME THE RECTOR OF PENNICOTE THAT IN THE COURSE OF LOOKING AT THINGS FROM EVERY POINT OF VIEW HE LOOKED AT GWENDOLEN AS A GIRL LIKELY TO MAKE A BRILLIANT MARRIAGE,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0000.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0000.flac
THAT SHE WAS TO BE MARRIED SOME TIME OR OTHER SHE WOULD HAVE FELT OBLIGED TO ADMIT AND THAT HER MARRIAGE WOULD NOT BE OF A MIDDLING KIND SUCH AS MOST GIRLS WERE CONTENTED WITH SHE FELT QUIETLY UNARGUMENTATIVELY SURE,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0006.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0006.flac
HER UNCLE'S INTENTION FELL IN PERFECTLY WITH GWENDOLEN'S OWN WISHES BUT LET NO ONE SUPPOSE THAT SHE ALSO CONTEMPLATED A BRILLIANT MARRIAGE AS THE DIRECT END OF HER WITCHING THE WORLD WITH HER GRACE ON HORSEBACK OR WITH ANY OTHER ACCOMPLISHMENT,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0005.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0005.flac
IN WHICH A WOMAN COULD NOT DO WHAT SHE LIKED HAD MORE CHILDREN THAN WERE DESIRABLE WAS CONSEQUENTLY DULL AND BECAME IRREVOCABLY IMMERSED IN HUMDRUM OF COURSE MARRIAGE WAS SOCIAL PROMOTION,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0009.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0009.flac
WHY SHOULD HE BE EXPECTED TO DIFFER FROM HIS CONTEMPORARIES IN THIS MATTER AND WISH HIS NIECE A WORSE END OF HER CHARMING MAIDENHOOD THAN THEY WOULD APPROVE AS THE BEST POSSIBLE,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0001.flac,data/LibriSpeech/librispeech_finetuning/1h/4/clean/248/130644/248-130644-0001.flac
WAS ONCE OUR HOUSE THIS SIR IS THE BUILDING FROM WHICH I HAVE SO OFTEN SEEN THOSE GREAT CREATURES MISS ELIZABETH MASTER GEORGE AUNT JANE AND UNCLE PARKER' WHOSE VERY NAMES WERE OF HIS OWN INVENTING,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0008.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0008.flac
AS THAT THE ROMAN EMPIRE USUALLY DECLINED IN THE MORNING AND IN THE EMINENTLY ARISTOCRATIC FAMILY MANSION RATHER THAN IN THE EVENING AS OF YORE AND IN BOFFIN'S BOWER THERE WERE OCCASIONS HOWEVER WHEN MISTER BOFFIN SEEKING A BRIEF REFUGE FROM THE BLANDISHMENTS OF FASHION,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0001.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0001.flac
CHAPTER SEVEN IN WHICH A FRIENDLY MOVE IS ORIGINATED THE ARRANGEMENT BETWEEN MISTER BOFFIN AND HIS LITERARY MAN MISTER SILAS WEGG SO FAR ALTERED WITH THE ALTERED HABITS OF MISTER BOFFIN'S LIFE,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0000.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0000.flac
AND HAS IT COME TO THIS INDEED AH DEAR ME DEAR ME SO TENDER WERE HIS LAMENTATIONS THAT THE KINDLY MISTER BOFFIN WAS QUITE SORRY FOR HIM AND ALMOST FELT MISTRUSTFUL THAT IN BUYING THE HOUSE HE HAD DONE HIM AN IRREPARABLE INJURY,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0009.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0009.flac
IF WEGG HAD BEEN WORSE PAID FOR HIS OFFICE OR BETTER QUALIFIED TO DISCHARGE IT,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0003.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0003.flac
BUT HOLDING THE POSITION OF A HANDSOMELY REMUNERATED HUMBUG HE RESENTED THEM THIS WAS QUITE ACCORDING TO RULE FOR THE INCOMPETENT SERVANT BY WHOMSOEVER EMPLOYED IS ALWAYS AGAINST HIS EMPLOYER EVEN THOSE BORN GOVERNORS NOBLE AND RIGHT HONOURABLE CREATURES,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0004.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0004.flac
WHO HAVE BEEN THE MOST IMBECILE IN HIGH PLACES HAVE UNIFORMLY SHOWN THEMSELVES THE MOST OPPOSED SOMETIMES IN BELYING DISTRUST SOMETIMES IN VAPID INSOLENCE TO THEIR EMPLOYER WHAT IS IN SUCH WISE TRUE OF THE PUBLIC MASTER AND SERVANT IS EQUALLY TRUE OF THE PRIVATE MASTER AND SERVANT ALL THE WORLD OVER,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0005.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0005.flac
THAT FAR SEEING AND FAR REACHING CHARACTER BY WAY OF ASSERTING HIMSELF AND MAKING OUT A CASE FOR COMPENSATION AFFECTED TO FALL INTO A MELANCHOLY STRAIN OF MUSING OVER THE MOURNFUL PAST AS IF THE HOUSE AND HE HAD HAD A FALL IN LIFE TOGETHER,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0007.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0007.flac
TWO OR THREE DIPLOMATIC INTERVIEWS THE RESULT OF GREAT SUBTLETY ON MISTER WEGG'S PART BUT ASSUMING THE MASK OF CARELESS YIELDING TO A FORTUITOUS COMBINATION OF CIRCUMSTANCES IMPELLING HIM TOWARDS CLERKENWELL HAD ENABLED HIM TO COMPLETE HIS BARGAIN WITH MISTER VENUS,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0010.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0010.flac
WHEN MISTER SILAS WEGG DID AT LAST OBTAIN FREE ACCESS TO OUR HOUSE AS HE HAD BEEN WONT TO CALL THE MANSION OUTSIDE WHICH HE HAD SAT SHELTERLESS SO LONG AND WHEN HE DID AT LAST FIND IT IN ALL PARTICULARS AS DIFFERENT FROM HIS MENTAL PLANS OF IT AS ACCORDING TO THE NATURE OF THINGS IT WELL COULD BE,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0006.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0006.flac
BRING ME ROUND TO THE BOWER SAID SILAS WHEN THE BARGAIN WAS CLOSED NEXT SATURDAY EVENING AND IF A SOCIABLE GLASS OF OLD JAMAIKEY WARM SHOULD MEET YOUR VIEWS I AM NOT THE MAN TO BEGRUDGE IT YOU ARE AWARE OF MY BEING POOR COMPANY SIR REPLIED MISTER VENUS BUT BE IT SO,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0011.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0011.flac
WOULD PRESENT HIMSELF AT THE BOWER AFTER DARK TO ANTICIPATE THE NEXT SALLYING FORTH OF WEGG,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0002.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/978/125137/978-125137-0002.flac
HIS THOUGHTFUL AIR AND THE ANXIOUS GLANCES HE CAST EVERY NOW AND THEN TOWARD ONE OF THE LITTLE GRATED WINDOWS OF THE BUILDING SUFFICED TO INDICATE THAT SOME VERY RARE BIRD INDEED HAD BEEN ENTRUSTED TO HIS KEEPING,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0000.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0000.flac
WE WILL THROW THEM IN AND HURRY THE DRIVER OFF LECOQ WAS OBLIGED TO INTERRUPT THE KEEPER'S TRANSPORTS OF SATISFACTION ARE THE PRISONERS ALONE HE INQUIRED QUITE ALONE,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0003.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0003.flac
THIS HAS BEEN A REMARKABLY QUIET NIGHT FOR SHROVE SUNDAY QUITE SURPRISING INDEED IT IS TRUE YOUR HUNT WAS INTERRUPTED YOU HAD A DRUNKEN MAN HERE HOWEVER NO YES THAT'S TRUE,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0004.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0004.flac
WHEN HE WAS PLACED IN A CELL BANG HE FELL DOWN LIKE A LOG OF WOOD,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0010.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0010.flac
AND ON COMING OUT INTO THE OPEN AIR THE WINE FLEW INTO HIS HEAD HE TOLD US ALL ABOUT IT WHEN HE GOT SOBER HALF AN HOUR AFTERWARD I NEVER SAW A MAN SO VEXED AS HE WAS HE WEPT AND STAMMERED THE FATHER OF A FAMILY AND AT MY AGE TOO,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0006.flac,data/LibriSpeech/librispeech_finetuning/1h/4/other/6135/41994/6135-41994-0006.flac
